[Wed Apr 29 09:44:19 PM CST 2026] Monitoring lm_eval processes...
[Wed Apr 29 09:44:19 PM CST 2026] lm_eval running, waiting 60s...
[Wed Apr 29 10:16:20 PM CST 2026] lm_eval running, waiting 60s...
[Wed Apr 29 10:17:20 PM CST 2026] lm_eval running, waiting 60s...
[Wed Apr 29 10:18:20 PM CST 2026] lm_eval running, waiting 60s...
[Wed Apr 29 10:19:20 PM CST 2026] lm_eval running, waiting 60s...
[Wed Apr 29 10:20:20 PM CST 2026] lm_eval running, waiting 60s...
[Wed Apr 29 10:21:20 PM CST 2026] lm_eval running, waiting 60s...
[Wed Apr 29 10:22:20 PM CST 2026] lm_eval running, waiting 60s...
[Wed Apr 29 10:23:20 PM CST 2026] lm_eval running, waiting 60s...
[Wed Apr 29 10:24:20 PM CST 2026] lm_eval running, waiting 60s...
[Wed Apr 29 10:25:21 PM CST 2026] lm_eval running, waiting 60s...
[Wed Apr 29 10:26:21 PM CST 2026] lm_eval running, waiting 60s...
[Wed Apr 29 10:27:21 PM CST 2026] lm_eval running, waiting 60s...
[Wed Apr 29 10:28:21 PM CST 2026] lm_eval running, waiting 60s...
[Wed Apr 29 10:29:21 PM CST 2026] lm_eval running, waiting 60s...
[Wed Apr 29 10:30:21 PM CST 2026] lm_eval running, waiting 60s...
[Wed Apr 29 10:31:21 PM CST 2026] lm_eval running, waiting 60s...
[Wed Apr 29 10:32:21 PM CST 2026] lm_eval running, waiting 60s...
[Wed Apr 29 10:33:21 PM CST 2026] lm_eval running, waiting 60s...
[Wed Apr 29 10:34:21 PM CST 2026] lm_eval running, waiting 60s...
[Wed Apr 29 10:35:21 PM CST 2026] lm_eval running, waiting 60s...
[Wed Apr 29 10:36:21 PM CST 2026] lm_eval running, waiting 60s...
[Wed Apr 29 10:37:21 PM CST 2026] lm_eval running, waiting 60s...
[Wed Apr 29 10:38:21 PM CST 2026] lm_eval running, waiting 60s...
[Wed Apr 29 10:39:21 PM CST 2026] lm_eval running, waiting 60s...
[Wed Apr 29 10:40:21 PM CST 2026] lm_eval running, waiting 60s...
[Wed Apr 29 10:41:21 PM CST 2026] lm_eval running, waiting 60s...
[Wed Apr 29 10:42:21 PM CST 2026] lm_eval running, waiting 60s...
[Wed Apr 29 10:43:21 PM CST 2026] lm_eval running, waiting 60s...
[Wed Apr 29 10:44:21 PM CST 2026] lm_eval running, waiting 60s...
[Wed Apr 29 10:45:21 PM CST 2026] lm_eval running, waiting 60s...
[Wed Apr 29 10:46:21 PM CST 2026] lm_eval running, waiting 60s...
[Wed Apr 29 10:47:21 PM CST 2026] lm_eval running, waiting 60s...
[Wed Apr 29 10:48:21 PM CST 2026] lm_eval running, waiting 60s...
[Wed Apr 29 10:49:21 PM CST 2026] lm_eval running, waiting 60s...
[Wed Apr 29 10:50:21 PM CST 2026] lm_eval running, waiting 60s...
[Wed Apr 29 10:51:21 PM CST 2026] lm_eval running, waiting 60s...
[Wed Apr 29 10:52:21 PM CST 2026] lm_eval running, waiting 60s...
[Wed Apr 29 10:53:21 PM CST 2026] lm_eval running, waiting 60s...
[Wed Apr 29 10:54:21 PM CST 2026] lm_eval running, waiting 60s...
[Wed Apr 29 10:55:21 PM CST 2026] lm_eval running, waiting 60s...
[Wed Apr 29 10:56:21 PM CST 2026] lm_eval running, waiting 60s...
[Wed Apr 29 10:57:22 PM CST 2026] lm_eval running, waiting 60s...
[Wed Apr 29 10:58:22 PM CST 2026] lm_eval running, waiting 60s...
[Wed Apr 29 10:59:22 PM CST 2026] lm_eval running, waiting 60s...
[Wed Apr 29 11:00:22 PM CST 2026] lm_eval running, waiting 60s...
[Wed Apr 29 11:01:22 PM CST 2026] lm_eval running, waiting 60s...
[Wed Apr 29 11:02:22 PM CST 2026] lm_eval running, waiting 60s...
[Wed Apr 29 11:03:22 PM CST 2026] lm_eval running, waiting 60s...
[Wed Apr 29 11:04:22 PM CST 2026] lm_eval running, waiting 60s...
[Wed Apr 29 11:05:22 PM CST 2026] lm_eval running, waiting 60s...
[Wed Apr 29 11:06:22 PM CST 2026] lm_eval running, waiting 60s...
[Wed Apr 29 11:07:22 PM CST 2026] lm_eval running, waiting 60s...
[Wed Apr 29 11:08:22 PM CST 2026] lm_eval running, waiting 60s...
[Wed Apr 29 11:09:22 PM CST 2026] lm_eval running, waiting 60s...
[Wed Apr 29 11:10:22 PM CST 2026] All lm_eval processes finished.
round3/launch_grpo_and_e1.sh: error reading input file: No such file or directory
